IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:46c2:6fbd:c5f0:da0:ba6f,4,4,0.00,207.88,16.57
2606:4700:0:4694:7a83:dded:1200:4ae3,4,4,0.00,207.92,16.36
2606:4700:0:46c2:6f53:bbe1:c203:df50,4,4,0.00,207.86,14.38
2606:4700:0:46c2:6fac:aa01:8cee:5da3,4,4,0.00,207.76,12.68
2606:4700::6d:2b16:bd9a:6f5b,4,4,0.00,207.94,11.20
2606:4700:0:4694:7a83:dded:caba:2086,4,4,0.00,207.92,10.30
2606:4700:0:46c2:6fac:aa01:8ccc:ce9f,4,4,0.00,207.70,9.35
2606:4700:0:4694:7a83:88ef:7e22:e59c,4,4,0.00,207.71,8.73
2606:4700:0:4694:7a83:88b9:1149:934f,4,4,0.00,207.91,7.52
2606:4700:0:4694:7a83:c319:9f0d:8c00,4,4,0.00,207.80,1.20
