IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.212.12.98,4,4,0.00,60.04,0.00,HK
47.242.218.87,4,4,0.00,60.08,0.00,HK
8.212.14.90,4,4,0.00,61.19,0.00,HK
47.57.245.232,4,4,0.00,62.19,0.00,HK
8.212.65.162,4,4,0.00,63.19,0.00,HK
8.219.245.214,4,4,0.00,89.41,0.00,SG
8.219.254.1,4,4,0.00,92.21,0.00,SG
8.219.236.218,4,4,0.00,92.82,0.00,SG
8.219.255.49,4,4,0.00,93.49,0.00,SG
8.219.97.248,4,4,0.00,94.15,0.00,SG
8.219.63.79,4,4,0.00,94.16,0.00,SG
8.219.243.132,4,4,0.00,94.31,0.00,SG
8.219.228.81,4,4,0.00,96.74,0.00,SG
146.56.110.3,4,4,0.00,99.26,0.00,KR
146.56.96.206,4,4,0.00,100.07,0.00,KR
144.24.95.220,4,4,0.00,104.30,0.00,KR
158.180.75.201,4,4,0.00,109.23,0.00,KR
8.220.134.136,4,4,0.00,110.43,0.00,PH
144.24.140.37,4,4,0.00,149.05,0.00,IN
152.67.190.105,4,4,0.00,151.51,0.00,IN
155.248.248.205,4,4,0.00,153.26,0.00,IN
141.148.203.6,4,4,0.00,154.05,0.00,IN
152.67.125.161,4,4,0.00,181.30,0.00,AU
155.248.182.161,4,4,0.00,181.96,0.00,JP
150.230.204.132,4,4,0.00,182.03,0.00,JP
155.248.169.118,4,4,0.00,183.64,0.00,JP
155.248.178.95,4,4,0.00,184.41,0.00,JP
141.147.185.208,4,4,0.00,185.02,0.00,JP
141.147.147.28,4,4,0.00,187.69,0.00,JP
150.230.63.93,4,4,0.00,189.93,0.00,JP
150.230.194.74,4,4,0.00,190.06,0.00,JP
141.144.196.32,4,4,0.00,192.29,0.00,NL
130.162.34.176,4,4,0.00,193.19,0.00,DE
141.144.197.136,4,4,0.00,194.41,0.00,NL
47.254.86.133,4,4,0.00,208.94,0.00,US
141.144.198.93,4,4,0.00,210.29,0.00,NL
129.154.202.229,4,4,0.00,213.46,0.00,KR
132.145.94.80,4,4,0.00,214.80,0.00,KR
129.154.194.191,4,4,0.00,215.67,0.00,KR
141.145.205.115,4,4,0.00,216.06,0.00,FR
193.123.254.142,4,4,0.00,216.81,0.00,KR
152.70.253.44,4,4,0.00,217.11,0.00,KR
152.70.93.246,4,4,0.00,217.58,0.00,KR
132.226.16.97,4,4,0.00,218.12,0.00,KR
129.153.203.62,4,4,0.00,219.65,0.00,US
193.123.35.178,4,4,0.00,222.80,0.00,NL
141.147.71.187,4,4,0.00,227.13,0.00,GB
138.2.81.71,4,4,0.00,227.86,0.00,SG
8.222.255.80,4,4,0.00,228.32,0.00,SG
8.222.219.140,4,4,0.00,228.48,0.00,SG
129.150.53.218,4,4,0.00,228.49,0.00,SG
8.222.213.251,4,4,0.00,229.03,0.00,SG
8.222.129.215,4,4,0.00,230.63,0.00,SG
47.74.155.26,4,4,0.00,230.64,0.00,SG
141.147.47.32,4,4,0.00,230.65,0.00,DE
8.222.165.104,4,4,0.00,231.87,0.00,SG
8.222.169.19,4,4,0.00,232.91,0.00,SG
152.67.151.176,4,4,0.00,234.15,0.00,GB
141.144.198.121,4,4,0.00,235.34,0.00,NL
141.147.85.167,4,4,0.00,236.33,0.00,GB
129.151.198.3,4,4,0.00,237.13,0.00,SE
150.230.121.114,4,4,0.00,237.35,0.00,GB
152.70.51.3,4,4,0.00,241.11,0.00,NL
143.47.189.30,4,4,0.00,242.31,0.00,NL
152.70.59.138,4,4,0.00,245.13,0.00,NL
132.145.245.100,4,4,0.00,245.26,0.00,DE
150.230.118.203,4,4,0.00,247.13,0.00,GB
141.147.71.121,4,4,0.00,247.67,0.00,GB
152.67.142.42,4,4,0.00,247.74,0.00,GB
152.67.140.249,4,4,0.00,251.62,0.00,GB
141.148.230.89,4,4,0.00,257.92,0.00,NL
141.148.245.210,4,4,0.00,263.03,0.00,NL
129.158.198.241,4,4,0.00,263.92,0.00,US
150.136.87.192,4,4,0.00,264.58,0.00,US
47.253.171.149,4,4,0.00,267.02,0.00,US
143.47.247.120,4,4,0.00,267.57,0.00,GB
193.122.58.158,4,4,0.00,276.97,0.00,DE
150.230.123.106,4,4,0.00,279.89,0.00,GB
144.21.42.2,4,4,0.00,287.55,0.00,NL
143.47.183.52,4,4,0.00,295.16,0.00,NL
130.162.174.117,4,4,0.00,298.89,0.00,GB
47.57.233.126,4,3,0.25,61.43,0.00,HK
141.147.160.166,4,3,0.25,188.15,0.00,JP
152.67.99.162,4,3,0.25,189.18,0.00,AU
155.248.170.249,4,3,0.25,190.33,0.00,JP
47.251.95.178,4,3,0.25,207.93,0.00,US
152.70.240.162,4,3,0.25,211.85,0.00,KR
141.144.201.12,4,3,0.25,212.25,0.00,NL
132.226.234.102,4,3,0.25,217.93,0.00,KR
131.186.27.112,4,3,0.25,218.38,0.00,KR
8.222.223.112,4,3,0.25,230.96,0.00,SG
130.61.124.127,4,3,0.25,231.53,0.00,DE
8.222.139.227,4,3,0.25,233.13,0.00,SG
130.162.165.64,4,3,0.25,238.80,0.00,GB
144.24.174.149,4,3,0.25,250.77,0.00,DE
141.148.235.197,4,3,0.25,253.62,0.00,NL
130.162.209.188,4,3,0.25,286.30,0.00,DE
144.21.59.145,4,3,0.25,298.40,0.00,GB
144.22.252.124,4,3,0.25,395.28,0.00,BR
192.9.180.162,4,2,0.50,180.44,0.00,AU
